[Info]
Lang=1
1=Japanese
ExtComment=0

[TagDefinitions]
,D00181,"流量演算0.1m3/h"
,D00182,"送水温度0.1℃"
,D00183,"環水温度0.1℃"
,D00184,"流量 LO"
,D00185,"流量 HI"
,D00186,"Δt"
,D00187,"Δt HI"
,D00188,"熱量0.01Mcal/h"
,D00192,"熱量MJ/h LO"
,D00193,"熱量MJ/h HI"
,D00194,"ﾏｸﾛ演算用"
,D00195,"ﾏｸﾛ演算用"
,D00200,"ﾏｸﾛ演算結果"
,D00201,"ﾏｸﾛ演算用"
,D00211,"FY211積算LO"
,D00212,"FY211積算HI"
,D00213,"FY221積算LO"
,D00214,"FY221積算HI"
,D00215,"FY231積算LO"
,D00216,"FY231積算HI"
,D00217,"FY241積算LO"
,D00218,"FY241積算HI"
,D00219,"FY301積算LO"
,D00220,"FY301積算HI"
,D00221,"FY401積算LO"
,D00222,"FY401積算HI"
,D00226,"FY211ｾｰﾌﾞ値LO"
,D00227,"FY211ｾｰﾌﾞ値HI"
,D00228,"FY221ｾｰﾌﾞ値LO"
,D00229,"FY221ｾｰﾌﾞ値HI"
,D00230,"FY231ｾｰﾌﾞ値LO"
,D00231,"FY231ｾｰﾌﾞ値HI"
,D00232,"FY241ｾｰﾌﾞ値LO"
,D00233,"FY241ｾｰﾌﾞ値HI"
,D00234,"FY301ｾｰﾌﾞ値LO"
,D00235,"FY301ｾｰﾌﾞ値HI"
,D00236,"FY401ｾｰﾌﾞ値LO"
,D00237,"FY401ｾｰﾌﾞ値HI"
,D01001,"温度TE-301"
,D01002,"温度TE-302"
,D01003,"温度TE-303"
,D01004,"温度TE-304"
,D01005,"温度TE-401"
,D01006,"温度TE-402"
,D01007,"温度TE-403"
,D01008,"温度TE-404"
,D01009,"温度TE-305"
,D01010,"温度TE-405"
,D01011,"温度TE-201"
,D01012,"温度TE-202"
,D01015,"流量FY-211"
,D01016,"流量FY-221"
,D01017,"流量FY-231"
,D01018,"流量FY-241"
,D01019,"流量FY-301"
,D01020,"流量FY-401"
,D01031,"a系ﾌﾞﾗｲﾝ熱量"
,D01032,"b系ﾌﾞﾗｲﾝ熱量"
,D01033,"蓄熱槽 熱量"
,D01055,"蓄熱ﾜｰｸ MJ/min LO"
,D01056,"蓄熱ﾜｰｸ MJ/min HI"
,D01058,"残蓄熱量MJ LO"
,D01063,"設計満蓄熱量MJ LO"
,D01071,"a系蓄熱ﾜｰｸ 1MJ/min LO"
,D01072,"a系蓄熱ﾜｰｸ 1MJ/min HI"
,D01073,"a系蓄熱積算熱量 MJ"
,D01077,"a系追掛ﾜｰｸ 1MJ/min LO"
,D01078,"a系追掛ﾜｰｸ 1MJ/min HI"
,D01079,"a系追掛積算熱量 0,1GJ"
,D01083,"b系蓄熱ﾜｰｸ 1MJ/min LO"
,D01084,"b系蓄熱ﾜｰｸ 1MJ/min HI"
,D01085,"b系蓄熱積算熱量 MJ"
,D01089,"b系追掛ﾜｰｸ 1MJ/min LO"
,D01090,"b系追掛ﾜｰｸ 1MJ/min HI"
,D01091,"b系追掛積算熱量 0,1GJ"
,D01107,"蓄熱 0.01GJ/h"
,D01109,"放熱 0.01GJ/h"
,D01111,"a系蓄熱 0.01GJ/h"
,D01113,"a系追掛 0.01GJ/h"
,D01115,"b系蓄熱 0.01GJ/h"
,D01117,"b系追掛 0.01GJ/h"
,D01121,"FY211積算LO LONG"
,D01123,"FY221積算LO LONG"
,D01125,"FY231積算LO LONG"
,D01127,"FY241積算LO LONG"
,D01129,"FY301積算LO LONG"
,D01131,"FY401積算LO LONG"
,D01141,"蓄熱槽流量 LO"
,D01142,"蓄熱槽流量 HI"
,D01146,"TE201入口温度"
,D01147,"TE202出口温度"
,D01151,"a系蓄熱積算熱量0.1GJ"
,D01155,"a系追掛積算熱量 0,1GJ"
,D01159,"b系蓄熱積算熱量0.1GJ"
,D01160,"放熱ﾜｰｸ MJ/min LO"
,D01161,"放熱ﾜｰｸ MJ/min HI"
,D01163,"b系追掛積算熱量 0,1GJ"
,D01201,"a追ﾊﾞﾙﾌﾞ監視時間"
,D01203,"TCV301,302 OUT"
,D01204,"TCV301,302 MV"
,D01207,"b追ﾊﾞﾙﾌﾞ監視時間"
,D01209,"TCV401,402 OUT"
,D01210,"TCV401,402 MV"
,D02501,"W30129L残蓄量設定MJ:L"
,D02505,"バルブ監視時間"
,D02506,"a系ﾊﾞﾙﾌﾞ復帰遅延ﾀｲﾏ"
,D02507,"b系ﾊﾞﾙﾌﾞ復帰遅延ﾀｲﾏ"
,D02511,"凍結1設定温度"
,D02512,"凍結2設定温度"
,D02513,"凍結3設定温度"
,D02514,"凍結4設定温度"
,D02515,"凍結継続時間"
,D02516,"蓄熱完了遅延時間"
,D02517,"蓄熱完了設定温度"
,D02518,"蓄熱完了継続時間"
,D02521,"放熱完了遅延時間"
,D02522,"放熱完了設定温度"
,D02523,"放熱完了継続時間"
,D02531,"追aウォーム設定温度"
,D02532,"追aウォーム完了継続時間"
,D02533,"追bウォーム設定温度"
,D02534,"追bウォーム完了継続時間"
,D02535,"凍結温度:追"
,D02536,"凍結タイマー設定:追"
,D02537,"出力:*0.1%/s"
,D02541,"追掛a:残留時間"
,D02542,"放熱a:残留時間"
,D02543,"追掛b:残留時間-SPBTb:残留時間"
,D02550,"放熱b:残留温度-残留停止温度"
,D02657,"蓄熱槽合計流量"
,D05001,"711"
,D05002,"24830140"
,D05004,"蓄熱完了温度"
,D05006,"放熱完了温度"
,D05014,"凍結防止温度"
,D05039,"放熱a:残留"
,D05041,"追掛a:残留"
,D05042,"追掛b:残留"
,D05055,"aウォーム完了温度"
,D05056,"bウォーム完了温度"
,D05092,"バルブ監視時間"
,D05093,"蓄熱完了継続時間"
,D05094,"蓄熱完了遅延時間"
,D05095,"放熱完了継続時間"
,D05096,"放熱完了遅延時間"
,D05097,"aウォーム完了継続時間"
,D05098,"bウォーム完了継続時間"
,D05131,"放熱b:残留温度"
,D05132,"凍結温度:追"
,D05133,"凍結タイマー設定:追"
,D05134,"出力:*0.1%/s"
,I00001,"Δtﾁｪｯｸ"
,I00005,"1分ｻｲｸﾙ"
,I00011,"FY211 PV=0"
,I00012,"FY211 SUM=0"
,I00013,"FY221 PV=0"
,I00014,"FY221 SUM=0"
,I00015,"FY231 PV=0"
,I00016,"FY231 SUM=0"
,I00017,"FY241 PV=0"
,I00018,"FY241 SUM=0"
,I00019,"FY301 PV=0"
,I00020,"FY301 SUM=0"
,I00021,"FY401 PV=0"
,I00022,"FY401 SUM=0"
,I00041,"HEX-BTa凍結温度警報1"
,I00042,"HEX-BTb凍結温度警報2"
,I00043,"HEX-ITa凍結温度警報3"
,I00044,"HEX-ITb凍結温度警報4"
,I00045,"凍結異常"
,I00046,"蓄熱完了"
,I00050,"R-BTa蓄熱運転停止/手動"
,I00051,"R-BTb蓄熱運転停止/手動"
,I00052,"R-BTa蓄熱運転停止/中央"
,I00053,"R-BTb蓄熱運転停止/中央"
,I00054,"蓄熱運転選択"
,I00060,"R-BTa蓄熱禁止"
,I00061,"(SP-BTa)故障"
,I00062,"(SP-BTb)故障"
,I00063,"R-BTb蓄熱禁止"
,I00070,"蓄熱運転1開始"
,I00071,"蓄1MV開指令"
,I00072,"XCV-301/302 開"
,I00073,"蓄1閉ﾘﾐｯﾄ OK1"
,I00074,"蓄1閉ﾘﾐｯﾄ OK2"
,I00075,"蓄1MV切替完了"
,I00076,"R-BTa蓄熱バルブ切換失敗"
,I00077,"蓄R-BTa,SP-BTa ON"
,I00080,"蓄熱運転2開始"
,I00081,"蓄2MV開指令"
,I00082,"蓄2閉ﾘﾐｯﾄ OK"
,I00083,"蓄2閉ﾘﾐｯﾄ OK1"
,I00084,"蓄2閉ﾘﾐｯﾄ OK2"
,I00085,"蓄2MV切替完了"
,I00086,"R-BTb蓄熱バルブ切換失敗"
,I00087,"蓄R-BTb,SP-BTb ON"
,I00090,"蓄1運転 ｱﾘ"
,I00091,"蓄2運転 ｱﾘ"
,I00100,"放熱完了"
,I00110,"手動放熱a系"
,I00111,"手動放熱b系"
,I00112,"R-BTa放熱運転停止/中央"
,I00113,"R-BTb放熱運転停止/中央"
,I00114,"放熱運転選択"
,I00121,"(PP-ITa)(P-ITa)故障"
,I00122,"(PP-ITb)(P-ITb)故障"
